,hdd_ssd,rpm0/read1,cache0/write1,PRICE
0,0,5400.0,256000.0,10969.0
1,0,5400.0,256000.0,13950.0
2,0,5400.0,256000.0,7649.0
3,0,5400.0,64000.0,8126.0
4,0,5400.0,256000.0,10475.0
5,0,7200.0,64000.0,5768.0
6,0,7200.0,32000.0,3993.0
7,0,5400.0,256000.0,26880.0
8,0,5400.0,256000.0,8228.0
9,0,5400.0,256000.0,6356.0
10,0,7200.0,128000.0,19228.0
11,0,5400.0,256000.0,21901.0
12,0,5900.0,64000.0,13284.0
13,0,7200.0,64000.0,4917.0
14,0,5400.0,64000.0,11429.0
15,0,5400.0,64000.0,15169.0
16,0,5400.0,64000.0,10758.0
17,0,7200.0,256000.0,6498.0
18,0,7200.0,256000.0,23937.0
19,0,7200.0,64000.0,4555.0
20,0,5400.0,256000.0,6050.0
21,0,7200.0,64000.0,7139.0
22,0,5400.0,256000.0,7148.0
23,0,7200.0,256000.0,24058.0
24,0,5400.0,64000.0,7037.0
25,0,7200.0,32000.0,4028.0
26,0,5400.0,256000.0,44779.0
27,0,7200.0,256000.0,58278.0
28,0,5400.0,64000.0,18977.0
29,0,7200.0,256000.0,49879.0
30,0,7200.0,512000.0,63780.0
31,0,7200.0,256000.0,26949.0
32,0,5400.0,64000.0,7827.0
33,0,5400.0,64000.0,7451.0
34,0,5400.0,64000.0,8951.0
35,0,7200.0,256000.0,19841.0
36,0,7200.0,256000.0,19763.0
37,0,5400.0,256000.0,38799.0
38,0,5900.0,64000.0,9108.0
39,0,7200.0,256000.0,69739.0
40,0,5900.0,64000.0,10552.0
41,0,7200.0,256000.0,31800.0
42,0,5400.0,256000.0,39339.0
43,0,7200.0,16000.0,2275.0
44,0,5400.0,64000.0,5776.0
45,0,7200.0,256000.0,26508.0
46,0,7200.0,32000.0,4552.0
47,0,7200.0,256000.0,34609.0
48,0,7200.0,64000.0,7933.0
49,0,7200.0,128000.0,13059.0
50,0,7200.0,256000.0,39500.0
51,0,5400.0,512000.0,62600.0
52,0,7200.0,16000.0,3165.0
53,0,7200.0,2000.0,5980.0
54,0,7200.0,256000.0,21500.0
55,0,7200.0,256000.0,33000.0
56,0,7200.0,32000.0,4657.0
57,0,5400.0,64000.0,5929.0
58,0,7200.0,128000.0,9700.0
59,0,7200.0,64000.0,14900.0
60,0,7200.0,128000.0,19580.0
61,0,7200.0,256000.0,28200.0
62,0,7200.0,256000.0,31350.0
63,0,7200.0,256000.0,49700.0
64,0,7200.0,256000.0,50780.0
65,0,7200.0,512000.0,66578.0
66,0,7200.0,256000.0,29778.0
67,0,7200.0,16000.0,3264.0
68,0,5400.0,64000.0,5250.0
